quarter,airline_id,origin_airport,destination_airport,distance,num_people,revenue
1,--,LGA,ABE,83,7,175
1,--,EWR,ABE,67,18,250
1,--,PHL,ABE,55,14,430
1,--,ONT,ABE,2342,1,915
1,--,BWI,ABE,121,3,45
1,--,AVP,ABE,50,4,90
1,--,CMH,ABE,396,1,45
1,--,PHX,ABE,2066,1,455
1,--,DCA,ABE,151,1,15
1,--,MCO,ABE,906,1,145
1,--,CLE,ABE,339,1,25
1,--,PVD,ABE,222,1,35
1,--,DTW,ABE,425,1,25
1,--,JFK,ABE,87,1,105
1,--,SJT,ABI,87,5,185
1,--,MAF,ABI,151,3,55
1,--,DFW,ABI,158,5,205
1,--,AUS,ABI,194,1,245
1,--,LBB,ABI,151,2,50
1,--,IAH,ABI,307,1,35
1,--,AMA,ABI,226,1,35
1,--,AMA,ABQ,278,9,505
1,--,ELP,ABQ,223,58,2460
1,--,JAX,ABQ,1480,2,410
1,--,DAL,ABQ,580,1,85
1,--,LAS,ABQ,486,18,1850
1,--,PHX,ABQ,328,29,1695
1,--,TUS,ABQ,321,11,855
1,--,SAF,ABQ,49,13,105
1,--,LBB,ABQ,290,4,420
1,--,DRO,ABQ,160,6,180
1,--,DEN,ABQ,349,14,650
1,--,STL,ABQ,934,1,115
1,--,MAF,ABQ,332,2,70
1,--,MTJ,ABQ,250,2,140
1,--,ANC,ABQ,2618,1,1295
1,--,EGE,ABQ,318,2,380
1,--,SEA,ABQ,1180,2,800
1,--,SMF,ABQ,866,1,185
1,--,ROW,ABQ,169,3,85
1,--,ONT,ABQ,630,2,160
1,--,COS,ABQ,280,3,175
1,--,LAX,ABQ,677,4,690
1,--,DFW,ABQ,569,2,260
1,--,SLC,ABQ,493,4,360
1,--,RNO,ABQ,787,1,175
1,--,ABI,ABQ,438,2,650
1,--,SAN,ABQ,628,4,490
1,--,BHM,ABQ,1138,1,1345
1,--,MCO,ABQ,1553,1,415
1,--,IAH,ABQ,744,1,225
1,--,BOS,ABQ,1974,2,480
1,--,AUS,ABQ,619,1,185
1,--,SAT,ABQ,609,2,310
1,--,MEM,ABQ,942,1,165
1,--,FMN,ABQ,149,1,25
1,--,ATL,ABQ,1269,1,185
1,--,FSD,ABR,153,3,55
1,--,MOT,ABR,237,1,65
1,--,FAR,ABR,128,1,5
1,--,MSP,ABR,257,2,200
1,--,ATL,ABY,145,6,260
1,--,CSG,ABY,80,1,25
1,--,SAV,ABY,181,1,35
1,--,MCO,ABY,275,1,15
1,--,MEM,ABY,413,1,75
1,--,DHN,ABY,76,1,5
1,--,IAH,ACT,159,4,60
1,--,STL,ACT,626,1,45
